N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1453.0,TIGER 글로벌자원생산기업(합성 H),16080.0,20.0,+0.12%,0.0,16135.0,16135.0,15995.0
1454.0,신한 인버스 2X 코스피 200 선물 ETN,14470.0,40.0,+0.28%,0.0,14555.0,14555.0,14470.0
1455.0,삼성 인버스 2X 코스피200 선물 ETN,14430.0,15.0,+0.10%,0.0,14515.0,14565.0,14400.0
1456.0,KOSEF 코스닥150,6850.0,15.0,+0.22%,0.0,6800.0,6850.0,6770.0
1457.0,TIMEFOLIO 이노베이션액티브,8985.0,60.0,+0.67%,0.0,9465.0,9465.0,8910.0
1458.0,KBSTAR 국채선물3년,51750.0,195.0,-0.38%,0.0,51820.0,51830.0,51750.0
1459.0,KBSTAR 채권혼합,59380.0,305.0,-0.51%,0.0,59400.0,59580.0,59325.0
1460.0,KODEX TDF2050액티브,10955.0,25.0,+0.23%,0.0,10955.0,10970.0,10930.0
1461.0,FOCUS ESG리더스,10170.0,0.0,0.00%,0.0,10170.0,10170.0,10170.0
1462.0,TRUE 인버스 2X 플래티넘 선물 ETN,14230.0,345.0,+2.48%,0.0,14230.0,14370.0,14230.0
1463.0,KB 인버스 2X 나스닥 100 ETN,7115.0,55.0,+0.78%,0.0,7130.0,7145.0,7075.0
1464.0,SOL 국고채3년,103040.0,245.0,-0.24%,0.0,103275.0,103275.0,102980.0
1465.0,미래에셋 인버스 미디어엔터 Core5 ETN,14200.0,125.0,+0.89%,0.0,14220.0,14220.0,14200.0
1466.0,KOSEF 미국달러선물인버스2X,6035.0,95.0,-1.55%,0.0,6090.0,6090.0,5995.0
1467.0,KBSTAR V&S셀렉트밸류채권혼합,11765.0,15.0,-0.13%,0.0,11785.0,11785.0,11725.0
1468.0,신한 인버스 WTI원유 선물 ETN(H),2815.0,0.0,0.00%,0.0,2815.0,2820.0,2805.0
1469.0,ARIRANG 선진국MSCI(합성 H),11135.0,20.0,-0.18%,0.0,11150.0,11150.0,11010.0
1470.0,한진칼우,26050.0,850.0,-3.16%,2500.0,27100.0,27100.0,26050.0
